"P.1","P.2","P.3"
0.565217391304348,0.304347826086957,0.130434782608696
0.521739130434783,0.347826086956522,0.130434782608696
0.478260869565217,0.391304347826087,0.130434782608696
0.434782608695652,0.434782608695652,0.130434782608696
0.391304347826087,0.478260869565217,0.130434782608696
0.347826086956522,0.521739130434783,0.130434782608696
0.304347826086957,0.565217391304348,0.130434782608696
0.260869565217391,0.608695652173913,0.130434782608696
0.217391304347826,0.652173913043478,0.130434782608696
0.173913043478261,0.695652173913043,0.130434782608696
0.130434782608696,0.739130434782609,0.130434782608696
0.0869565217391304,0.782608695652174,0.130434782608696
0.0434782608695652,0.826086956521739,0.130434782608696
0.782608695652174,0.0434782608695652,0.173913043478261
0.739130434782609,0.0869565217391304,0.173913043478261
0.695652173913043,0.130434782608696,0.173913043478261
0.652173913043478,0.173913043478261,0.173913043478261
0.608695652173913,0.217391304347826,0.173913043478261
0.565217391304348,0.260869565217391,0.173913043478261
0.521739130434783,0.304347826086957,0.173913043478261
0.478260869565217,0.347826086956522,0.173913043478261
0.434782608695652,0.391304347826087,0.173913043478261
0.391304347826087,0.434782608695652,0.173913043478261
0.347826086956522,0.478260869565217,0.173913043478261
0.304347826086957,0.521739130434783,0.173913043478261
0.260869565217391,0.565217391304348,0.173913043478261
0.217391304347826,0.608695652173913,0.173913043478261
0.173913043478261,0.652173913043478,0.173913043478261
0.130434782608696,0.695652173913043,0.173913043478261
0.0869565217391304,0.739130434782609,0.173913043478261
0.0434782608695652,0.782608695652174,0.173913043478261
0.739130434782609,0.0434782608695652,0.217391304347826
0.695652173913043,0.0869565217391304,0.217391304347826
0.652173913043478,0.130434782608696,0.217391304347826
0.608695652173913,0.173913043478261,0.217391304347826
0.565217391304348,0.217391304347826,0.217391304347826
0.521739130434783,0.260869565217391,0.217391304347826
0.478260869565217,0.304347826086957,0.217391304347826
0.434782608695652,0.347826086956522,0.217391304347826
0.391304347826087,0.391304347826087,0.217391304347826
0.347826086956522,0.434782608695652,0.217391304347826
0.304347826086957,0.478260869565217,0.217391304347826
0.260869565217391,0.521739130434783,0.217391304347826
0.217391304347826,0.565217391304348,0.217391304347826
0.173913043478261,0.608695652173913,0.217391304347826
0.130434782608696,0.652173913043478,0.217391304347826
0.0869565217391304,0.695652173913043,0.217391304347826
0.0434782608695652,0.739130434782609,0.217391304347826
0.695652173913043,0.0434782608695652,0.260869565217391
0.652173913043478,0.0869565217391304,0.260869565217391
0.608695652173913,0.130434782608696,0.260869565217391
0.565217391304348,0.173913043478261,0.260869565217391
0.521739130434783,0.217391304347826,0.260869565217391
0.478260869565217,0.260869565217391,0.260869565217391
0.434782608695652,0.304347826086957,0.260869565217391
0.391304347826087,0.347826086956522,0.260869565217391
0.347826086956522,0.391304347826087,0.260869565217391
0.304347826086957,0.434782608695652,0.260869565217391
0.260869565217391,0.478260869565217,0.260869565217391
0.217391304347826,0.521739130434783,0.260869565217391
0.173913043478261,0.565217391304348,0.260869565217391
0.130434782608696,0.608695652173913,0.260869565217391
0.0869565217391304,0.652173913043478,0.260869565217391
0.0434782608695652,0.695652173913043,0.260869565217391
0.652173913043478,0.0434782608695652,0.304347826086957
0.608695652173913,0.0869565217391304,0.304347826086957
0.565217391304348,0.130434782608696,0.304347826086957
0.521739130434783,0.173913043478261,0.304347826086957
0.478260869565217,0.217391304347826,0.304347826086957
0.434782608695652,0.260869565217391,0.304347826086957
0.391304347826087,0.304347826086957,0.304347826086957
0.347826086956522,0.347826086956522,0.304347826086957
0.304347826086957,0.391304347826087,0.304347826086957
0.260869565217391,0.434782608695652,0.304347826086957
0.217391304347826,0.478260869565217,0.304347826086957
0.173913043478261,0.521739130434783,0.304347826086957
0.130434782608696,0.565217391304348,0.304347826086957
0.0869565217391304,0.608695652173913,0.304347826086957
0.0434782608695652,0.652173913043478,0.304347826086957
0.608695652173913,0.0434782608695652,0.347826086956522
0.565217391304348,0.0869565217391304,0.347826086956522
0.521739130434783,0.130434782608696,0.347826086956522
0.478260869565217,0.173913043478261,0.347826086956522
0.434782608695652,0.217391304347826,0.347826086956522
0.391304347826087,0.260869565217391,0.347826086956522
0.347826086956522,0.304347826086957,0.347826086956522
0.304347826086957,0.347826086956522,0.347826086956522
0.260869565217391,0.391304347826087,0.347826086956522
0.217391304347826,0.434782608695652,0.347826086956522
0.173913043478261,0.478260869565217,0.347826086956522
0.130434782608696,0.521739130434783,0.347826086956522
0.0869565217391304,0.565217391304348,0.347826086956522
0.0434782608695652,0.608695652173913,0.347826086956522
0.565217391304348,0.0434782608695652,0.391304347826087
0.521739130434783,0.0869565217391304,0.391304347826087
0.478260869565217,0.130434782608696,0.391304347826087
0.434782608695652,0.173913043478261,0.391304347826087
0.391304347826087,0.217391304347826,0.391304347826087
0.347826086956522,0.260869565217391,0.391304347826087
0.304347826086957,0.304347826086957,0.391304347826087
0.260869565217391,0.347826086956522,0.391304347826087
0.217391304347826,0.391304347826087,0.391304347826087
0.173913043478261,0.434782608695652,0.391304347826087
0.130434782608696,0.478260869565217,0.391304347826087
0.0869565217391304,0.521739130434783,0.391304347826087
0.0434782608695652,0.565217391304348,0.391304347826087
0.521739130434783,0.0434782608695652,0.434782608695652
0.478260869565217,0.0869565217391304,0.434782608695652
0.434782608695652,0.130434782608696,0.434782608695652
0.391304347826087,0.173913043478261,0.434782608695652
0.347826086956522,0.217391304347826,0.434782608695652
0.304347826086957,0.260869565217391,0.434782608695652
0.260869565217391,0.304347826086957,0.434782608695652
0.217391304347826,0.347826086956522,0.434782608695652
0.173913043478261,0.391304347826087,0.434782608695652
0.130434782608696,0.434782608695652,0.434782608695652
0.0869565217391304,0.478260869565217,0.434782608695652
0.0434782608695652,0.521739130434783,0.434782608695652
0.478260869565217,0.0434782608695652,0.478260869565217
0.434782608695652,0.0869565217391304,0.478260869565217
0.391304347826087,0.130434782608696,0.478260869565217
0.347826086956522,0.173913043478261,0.478260869565217
0.304347826086957,0.217391304347826,0.478260869565217
0.260869565217391,0.260869565217391,0.478260869565217
0.217391304347826,0.304347826086957,0.478260869565217
0.173913043478261,0.347826086956522,0.478260869565217
0.130434782608696,0.391304347826087,0.478260869565217
0.0869565217391304,0.434782608695652,0.478260869565217
0.0434782608695652,0.478260869565217,0.478260869565217
0.434782608695652,0.0434782608695652,0.521739130434783
0.391304347826087,0.0869565217391304,0.521739130434783
0.347826086956522,0.130434782608696,0.521739130434783
0.304347826086957,0.173913043478261,0.521739130434783
0.260869565217391,0.217391304347826,0.521739130434783
0.217391304347826,0.260869565217391,0.521739130434783
0.173913043478261,0.304347826086957,0.521739130434783
0.130434782608696,0.347826086956522,0.521739130434783
0.0869565217391304,0.391304347826087,0.521739130434783
0.0434782608695652,0.434782608695652,0.521739130434783
0.391304347826087,0.0434782608695652,0.565217391304348
0.347826086956522,0.0869565217391304,0.565217391304348
0.304347826086957,0.130434782608696,0.565217391304348
0.260869565217391,0.173913043478261,0.565217391304348
0.217391304347826,0.217391304347826,0.565217391304348
0.173913043478261,0.260869565217391,0.565217391304348
0.130434782608696,0.304347826086957,0.565217391304348
0.0869565217391304,0.347826086956522,0.565217391304348
0.0434782608695652,0.391304347826087,0.565217391304348
0.347826086956522,0.0434782608695652,0.608695652173913
0.304347826086957,0.0869565217391304,0.608695652173913
0.260869565217391,0.130434782608696,0.608695652173913
0.217391304347826,0.173913043478261,0.608695652173913
0.173913043478261,0.217391304347826,0.608695652173913
0.130434782608696,0.260869565217391,0.608695652173913
0.0869565217391304,0.304347826086957,0.608695652173913
0.0434782608695652,0.347826086956522,0.608695652173913
0.304347826086957,0.0434782608695652,0.652173913043478
0.260869565217391,0.0869565217391304,0.652173913043478
0.217391304347826,0.130434782608696,0.652173913043478
0.173913043478261,0.173913043478261,0.652173913043478
0.130434782608696,0.217391304347826,0.652173913043478
0.0869565217391304,0.260869565217391,0.652173913043478
0.0434782608695652,0.304347826086957,0.652173913043478
0.260869565217391,0.0434782608695652,0.695652173913043
0.217391304347826,0.0869565217391304,0.695652173913043
0.173913043478261,0.130434782608696,0.695652173913043
0.130434782608696,0.173913043478261,0.695652173913043
0.0869565217391304,0.217391304347826,0.695652173913043
0.0434782608695652,0.260869565217391,0.695652173913043
0.217391304347826,0.0434782608695652,0.739130434782609
0.173913043478261,0.0869565217391304,0.739130434782609
0.130434782608696,0.130434782608696,0.739130434782609
0.0869565217391304,0.173913043478261,0.739130434782609
0.0434782608695652,0.217391304347826,0.739130434782609
0.173913043478261,0.0434782608695652,0.782608695652174
0.130434782608696,0.0869565217391304,0.782608695652174
0.0869565217391304,0.130434782608696,0.782608695652174
0.0434782608695652,0.173913043478261,0.782608695652174
0.130434782608696,0.0434782608695652,0.826086956521739
0.0869565217391304,0.0869565217391304,0.826086956521739
0.0434782608695652,0.130434782608696,0.826086956521739
0.0869565217391304,0.0434782608695652,0.869565217391304
0.0434782608695652,0.0869565217391304,0.869565217391304
0.0434782608695652,0.0434782608695652,0.91304347826087
